,Name,Address,Price,Size,Distance to beach,Distance to airport,Pool,Car,Non-smoking room,Near beach,WiFi,Family room,Bar,Breakfast
178,Muong Thanh Son Tra Apartment Seaview Da Nang,"51 Trần Bạch Đằng, Đà Nẵng, Việt Nam",1500.0,70,0.05,4.5,1,0,1,1,1,1,0,0
179,Wink Hotel Danang Centre - 24hrs stay,"178 Đường Trần Phú, Đà Nẵng, Việt Nam",975.0,20,2.4,2.4,1,0,1,0,0,1,1,0
180,Grand Sunrise Boutique Hotel,"04 - 06 - 08 - 10 Le Lo street My An ward, Ngu Hanh Son District, Đà Nẵng, Việt Nam",749.0,22,0.3,4.3,1,1,1,0,1,1,1,0
181,Richico Garden Beach Hotel,"176 Nguyễn Văn Thoại, Đà Nẵng, Việt Nam",718.0,20,0.2,4.4,1,0,1,1,1,1,1,0
182,Animor Green Home Villa Da Nang,"Mỹ Khê 4 Lô 47, Đà Nẵng, Việt Nam",722.0,30,0.1,4.5,1,1,1,1,1,1,1,0
183,The Hygge House,"226 Ngô Quyền, Đà Nẵng, Việt Nam",429.0,20,0.75,5.0,0,0,1,0,0,1,0,0
184,Bao Anh Boutique Hotel,"Lot 20, Do Ba Street, My Khe Beach, My An Ward, Ngu Hanh Son District , Đà Nẵng, Việt Nam",388.0,20,0.3,4.2,0,1,1,1,1,1,0,0
185,Bonny Boutique Hotel Da Nang,"3 Khuê Mỹ Đông 10, khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",828.0,30,0.7,4.1,1,1,1,0,1,1,0,0
186,Le Bouton Smart Boutique Hotel,"12 Tran Dinh Dan Street, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",1175.0,25,0.3,4.9,0,1,1,1,1,1,1,0
187,Valencia Da Nang Beach Hotel,"Lo 61-62 Phan Liem, Phuong My An, Quan Ngu Hanh Son, Đà Nẵng, Việt Nam",614.0,18,0.3,4.3,0,1,1,1,1,1,0,0
188,Avora Hotel,"170 Bach Dang, Hai Chau, Da Nang, Đà Nẵng, Việt Nam",881.0,25,2.3,2.5,0,0,1,0,1,1,1,0
189,Wings House,"K34/30 Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng, Đà Nẵng, Việt Nam",705.0,25,2.2,1.100000000000001,0,0,1,0,1,0,1,0
190,Le Cap Hotel & Apartment,"16 Đặng Vũ Hỷ, Đà Nẵng, Việt Nam",828.0,27,0.75,4.0,1,0,1,0,1,1,0,0
191,Radisson Hotel Danang,"170 Vo Nguyen Giap, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",2206.0,28,0.15,4.8,1,1,1,1,1,1,1,0
192,Anh Nguyet Da Nang Hotel,"8 Phan Dinh Phung, Hai Chau, Đà Nẵng, Việt Nam",610.0,22,2.4,2.6,0,1,1,0,1,1,0,0
193,THE BLOSSOM RESORT ISLAND - All Inclusive,"Lot A1-A2 Zone of Villas of-Green Island-Hoa Cuong Bac-Hai Chau District-Da Nang-Viet Nam, Đà Nẵng, Việt Nam",2381.0,27,2.4,2.2,1,1,1,0,1,1,1,0
194,Sen Boutique Hotel,"53-55 An Thuong 26, My An, Ngu Hanh Son, Da Nang, Đà Nẵng, Việt Nam",508.0,20,0.2,4.4,0,1,1,1,1,1,1,0
195,ĐẢO NGỌC HOTEL,"04 An Thượng 30, Mỹ An, Ngũ Hành Sơn, Đà Nẵng, Việt Nam, Đà Nẵng, Việt Nam",468.0,20,0.15,4.4,0,1,1,0,1,1,0,0
196,Louis Mo Apartment,"20 An Thượng 28, Đà Nẵng, Việt Nam",2066.0,75,0.25,4.3,1,0,1,0,1,1,0,0
197,BeSea Hotel,"No.22 Duong An Thuong 32, My An, Ngu Hanh Son, Đà Nẵng, Việt Nam",288.0,18,0.25,4.3,0,0,1,1,1,0,0,0
