Name,Address,Price,Size,Distance to beach,Distance to airport,Pool,Car,Non-smoking room,Near beach,WiFi,Family room,Bar,Breakfast
Halina Hotel and Apartment,"Lot 133.134 Tran Bach Dang Str, My An Ward, Ngu Hanh Son Dist, Đà Nẵng, Việt Nam",745,18,0.2,4.4,1,1,1,0,1,1,1,0
Sekong Hotel Da Nang,"160 Vo Nguyen Giap, Phuoc My, Son Tra, Da Nang, Đà Nẵng, Việt Nam",756,32,0.15,4.9,1,1,1,1,1,1,1,0
Homestay Halley,"37 Dao Cam Moc, Hai Chau, Da Nang, Đà Nẵng, Việt Nam",250,18,3.5,0.6,0,0,1,0,1,1,0,0
SHI HOUSE by Haviland,"232 Đường Trần Hưng Đạo 232 Trần Hưng Đạo, Đà Nẵng, Việt Nam",667,30,1.6,3.1,0,1,1,0,1,0,0,0
Paris Deli Danang Beach Hotel,"236 Vo Nguyen Giap, Son Tra, Đà Nẵng, Việt Nam",1263,23,0.1,4.7,1,0,1,1,1,1,1,1
May Beach Hotel,"22-23 Đỗ Bá, Đà Nẵng, Việt Nam",550,28,0.2,4.3,0,1,1,1,1,1,1,0
Glamour Hotel Da Nang,"269 Tran Hung Dao Str., An Hai Bac Ward, Son Tra Dist, Da Nang City, Đà Nẵng, Việt Nam",756,25,1.9,3.4,1,1,1,0,1,1,1,0
Hai Trieu Hotel,"18 - 20 Loseby , Đà Nẵng, Việt Nam",917,25,0.55,4.4,1,1,1,0,1,1,1,0
Shara Hotel Da Nang,"52 - 53 Phan Liem, Ngu Hanh Son, Đà Nẵng, Việt Nam",536,25,0.2,4.4,0,1,1,0,1,1,0,0
Minh Boutique,"5 Nguyen Cao Luyen, Đà Nẵng, Việt Nam",1222,25,0.45,4.4,1,1,1,0,1,1,0,1
Greenery Hotel,"76 Ha Bong, Đà Nẵng, Việt Nam",534,25,0.2,4.6,1,1,0,0,1,1,0,0
Crystal Boutique Hotel by THG,"204 Ho Nghinh, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",646,28,0.3,4.5,1,1,1,0,1,1,1,0
Robin Hotel Danang,"08 Loseby, Đà Nẵng, Việt Nam",329,16,0.35,4.6,0,1,1,1,1,1,0,0
Lavencos Hotel Da Nang,"360 - 362 Vo Nguyen Giap, Đà Nẵng, Việt Nam",832,30,0.35,4.3,1,1,1,1,1,1,0,1
Stella Maris Beach Danang,"3 Vo Van Kiet, Phuoc My Ward, Son Tra District, Đà Nẵng, Việt Nam",1575,28,0.15,4.6,1,1,1,1,1,1,1,0
Golden Lotus Hotel Da Nang,"200 Trần Bạch Đằng, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng, Đà Nẵng, Việt Nam",1039,24,0.15,4.4,1,0,1,1,1,1,1,0
Ngọc Bích Hotel Da Nang,"23 Lê Bình, Đà Nẵng, Việt Nam",900,25,0.4,4.6,1,1,1,0,1,1,0,0
